symbol,company_name,sector,yahoo_symbol,currency
APCOTEXIND,Apcotex Industries Limited,Unclassified,APCOTEXIND.NS,INR
APEX,Apex Frozen Foods Limited,Unclassified,APEX.NS,INR
APLAPOLLO,APL Apollo Tubes Limited,Unclassified,APLAPOLLO.NS,INR
APLLTD,Alembic Pharmaceuticals Limited,Unclassified,APLLTD.NS,INR
APOLLO,Apollo Micro Systems Limited,Unclassified,APOLLO.NS,INR
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Unclassified,APOLLOHOSP.NS,INR
APOLLOPIPE,Apollo Pipes Limited,Unclassified,APOLLOPIPE.NS,INR
APOLLOTYRE,Apollo Tyres Limited,Unclassified,APOLLOTYRE.NS,INR
APOLSINHOT,Apollo Sindoori Hotels Limited,Unclassified,APOLSINHOT.NS,INR
APTECHT,Aptech Limited,Unclassified,APTECHT.NS,INR
APTUS,Aptus Value Housing Finance India Limited,Unclassified,APTUS.NS,INR
AQYLON,Aqylon Nexus Limited,Unclassified,AQYLON.NS,INR
ARCHIDPLY,Archidply Industries Limited,Unclassified,ARCHIDPLY.NS,INR
ARCHIES,Archies Limited,Unclassified,ARCHIES.NS,INR
ARE&M,Amara Raja Energy & Mobility Limited,Unclassified,ARE&M.NS,INR
ARENTERP,Rajdarshan Industries Limited,Unclassified,ARENTERP.NS,INR
ARFIN,Arfin India Limited,Unclassified,ARFIN.NS,INR
ARIES,Aries Agro Limited,Unclassified,ARIES.NS,INR
ARIHANTCAP,Arihant Capital Markets Limited,Unclassified,ARIHANTCAP.NS,INR
ARIHANTSUP,Arihant Superstructures Limited,Unclassified,ARIHANTSUP.NS,INR
ARIS,Arisinfra Solutions Limited,Unclassified,ARIS.NS,INR
ARKADE,Arkade Developers Limited,Unclassified,ARKADE.NS,INR
ARMANFIN,Arman Financial Services Limited,Unclassified,ARMANFIN.NS,INR
AROGRANITE,Aro Granite Industries Limited,Unclassified,AROGRANITE.NS,INR
ARROWGREEN,Arrow Greentech Limited,Unclassified,ARROWGREEN.NS,INR
ARSSBL,Anand Rathi Share and Stock Brokers Limited,Unclassified,ARSSBL.NS,INR
ARTEMISMED,Artemis Medicare Services Limited,Unclassified,ARTEMISMED.NS,INR
ARTNIRMAN,Art Nirman Limited,Unclassified,ARTNIRMAN.NS,INR
ARVEE,Arvee Laboratories (India) Limited,Unclassified,ARVEE.NS,INR
ARVIND,Arvind Limited,Unclassified,ARVIND.NS,INR
ARVINDFASN,Arvind Fashions Limited,Unclassified,ARVINDFASN.NS,INR
ARVSMART,Arvind SmartSpaces Limited,Unclassified,ARVSMART.NS,INR
ASAHIINDIA,Asahi India Glass Limited,Unclassified,ASAHIINDIA.NS,INR
ASAHISONG,Asahi Songwon Colors Limited,Unclassified,ASAHISONG.NS,INR
ASAL,Automotive Stampings and Assemblies Limited,Unclassified,ASAL.NS,INR
ASALCBR,Associated Alcohols & Breweries Ltd.,Unclassified,ASALCBR.NS,INR
ASHAPURMIN,Ashapura Minechem Limited,Unclassified,ASHAPURMIN.NS,INR
ASHIANA,Ashiana Housing Limited,Unclassified,ASHIANA.NS,INR
ASHIMASYN,Ashima Limited,Unclassified,ASHIMASYN.NS,INR
ASHOKA,Ashoka Buildcon Limited,Unclassified,ASHOKA.NS,INR
ASHOKAMET,Ashoka Metcast Limited,Unclassified,ASHOKAMET.NS,INR
ASHOKLEY,Ashok Leyland Limited,Unclassified,ASHOKLEY.NS,INR
ASIANENE,Asian Energy Services Limited,Unclassified,ASIANENE.NS,INR
ASIANHOTNR,Asian Hotels (North) Limited,Unclassified,ASIANHOTNR.NS,INR
ASIANPAINT,Asian Paints Limited,Unclassified,ASIANPAINT.NS,INR
ASIANTILES,Asian Granito India Limited,Unclassified,ASIANTILES.NS,INR
ASKAUTOLTD,ASK Automotive Limited,Unclassified,ASKAUTOLTD.NS,INR
ASMS,Bartronics India Limited,Unclassified,ASMS.NS,INR
ASPINWALL,Aspinwall and Company Limited,Unclassified,ASPINWALL.NS,INR
ASTEC,Astec LifeSciences Limited,Unclassified,ASTEC.NS,INR
ASTERDM,Aster DM Healthcare Limited,Unclassified,ASTERDM.NS,INR
ASTRAL,Astral Limited,Unclassified,ASTRAL.NS,INR
ASTRAMICRO,Astra Microwave Products Limited,Unclassified,ASTRAMICRO.NS,INR
ASTRAZEN,AstraZeneca Pharma India Limited,Unclassified,ASTRAZEN.NS,INR
ASTRON,Astron Paper & Board Mill Limited,Unclassified,ASTRON.NS,INR
ATALREAL,Atal Realtech Limited,Unclassified,ATALREAL.NS,INR
ATAM,Atam Valves Limited,Unclassified,ATAM.NS,INR
ATGL,Adani Total Gas Limited,Unclassified,ATGL.NS,INR
ATHERENERG,Ather Energy Limited,Unclassified,ATHERENERG.NS,INR
ATL,Allcargo Terminals Limited,Unclassified,ATL.NS,INR
ATLANTAA,ATLANTAA LIMITED,Unclassified,ATLANTAA.NS,INR
ATLANTAELE,Atlanta Electricals Limited,Unclassified,ATLANTAELE.NS,INR
ATLASCYCLE,Atlas Cycles (Haryana) Limited,Unclassified,ATLASCYCLE.NS,INR
ATUL,Atul Limited,Unclassified,ATUL.NS,INR
ATULAUTO,Atul Auto Limited,Unclassified,ATULAUTO.NS,INR
AUBANK,AU Small Finance Bank Limited,Unclassified,AUBANK.NS,INR
AURIGROW,Auri Grow India Limited,Unclassified,AURIGROW.NS,INR
AURIONPRO,Aurionpro Solutions Limited,Unclassified,AURIONPRO.NS,INR
AUROPHARMA,Aurobindo Pharma Limited,Unclassified,AUROPHARMA.NS,INR
AURUM,Aurum PropTech Limited,Unclassified,AURUM.NS,INR
AUSOMENT,Ausom Enterprise Limited,Unclassified,AUSOMENT.NS,INR
AUTOAXLES,Automotive Axles Limited,Unclassified,AUTOAXLES.NS,INR
AUTOIND,Autoline Industries Limited,Unclassified,AUTOIND.NS,INR
AVADHSUGAR,Avadh Sugar & Energy Limited,Unclassified,AVADHSUGAR.NS,INR
AVALON,Avalon Technologies Limited,Unclassified,AVALON.NS,INR
AVANTEL,Avantel Limited,Unclassified,AVANTEL.NS,INR
AVANTIFEED,Avanti Feeds Limited,Unclassified,AVANTIFEED.NS,INR
AVG,AVG Logistics Limited,Unclassified,AVG.NS,INR
AVL,Aditya Vision Limited,Unclassified,AVL.NS,INR
AVONMORE,Avonmore Capital & Management Services Limited,Unclassified,AVONMORE.NS,INR
AVROIND,AVRO INDIA LIMITED,Unclassified,AVROIND.NS,INR
AVTNPL,AVT Natural Products Limited,Unclassified,AVTNPL.NS,INR
AWFIS,Awfis Space Solutions Limited,Unclassified,AWFIS.NS,INR
AWHCL,Antony Waste Handling Cell Limited,Unclassified,AWHCL.NS,INR
AWL,AWL Agri Business Limited,Unclassified,AWL.NS,INR
AXISBANK,Axis Bank Limited,Unclassified,AXISBANK.NS,INR
AXISCADES,AXISCADES Technologies Limited,Unclassified,AXISCADES.NS,INR
AXITA,Axita Cotton Limited,Unclassified,AXITA.NS,INR
AYE,Aye Finance Limited,Unclassified,AYE.NS,INR
AYMSYNTEX,AYM Syntex Limited,Unclassified,AYMSYNTEX.NS,INR
AZAD,Azad Engineering Limited,Unclassified,AZAD.NS,INR
BAFNAPH,Bafna Pharmaceuticals Limited,Unclassified,BAFNAPH.NS,INR
BAGFILMS,B.A.G Films and Media Limited,Unclassified,BAGFILMS.NS,INR
BAIDFIN,Baid Finserv Limited,Unclassified,BAIDFIN.NS,INR
BAJAJ-AUTO,Bajaj Auto Limited,Unclassified,BAJAJ-AUTO.NS,INR
BAJAJCON,Bajaj Consumer Care Limited,Unclassified,BAJAJCON.NS,INR
BAJAJELEC,Bajaj Electricals Limited,Unclassified,BAJAJELEC.NS,INR
BAJAJFINSV,Bajaj Finserv Limited,Unclassified,BAJAJFINSV.NS,INR
BAJAJHCARE,Bajaj Healthcare Limited,Unclassified,BAJAJHCARE.NS,INR
BAJAJHFL,Bajaj Housing Finance Limited,Unclassified,BAJAJHFL.NS,INR
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Unclassified,BAJAJHIND.NS,INR
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Unclassified,BAJAJHLDNG.NS,INR
BAJAJINDEF,Indef Manufacturing Limited,Unclassified,BAJAJINDEF.NS,INR
BAJEL,Bajel Projects Limited,Unclassified,BAJEL.NS,INR
BAJFINANCE,Bajaj Finance Limited,Unclassified,BAJFINANCE.NS,INR
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,Unclassified,BALAJEE.NS,INR
BALAJITELE,Balaji Telefilms Limited,Unclassified,BALAJITELE.NS,INR
BALAMINES,Balaji Amines Limited,Unclassified,BALAMINES.NS,INR
BALAXI,BALAXI PHARMACEUTICALS LIMITED,Unclassified,BALAXI.NS,INR
BALKRISHNA,Balkrishna Paper Mills Limited,Unclassified,BALKRISHNA.NS,INR
BALKRISIND,Balkrishna Industries Limited,Unclassified,BALKRISIND.NS,INR
BALMLAWRIE,Balmer Lawrie & Company Limited,Unclassified,BALMLAWRIE.NS,INR
BALPHARMA,Bal Pharma Limited,Unclassified,BALPHARMA.NS,INR
BALRAMCHIN,Balrampur Chini Mills Limited,Unclassified,BALRAMCHIN.NS,INR
BALUFORGE,Balu Forge Industries Limited,Unclassified,BALUFORGE.NS,INR
BANARBEADS,Banaras Beads Limited,Unclassified,BANARBEADS.NS,INR
BANARISUG,Bannari Amman Sugars Limited,Unclassified,BANARISUG.NS,INR
