symbol,company_name,sector,yahoo_symbol,currency
TRIVENIGQ,Triveni Glass Ltd,Unclassified,TRIVENIGQ.BO,INR
NILACHAL,Nilachal Refractories Ltd,Unclassified,NILACHAL.BO,INR
ANDHRAPAP,Andhra Paper Ltd,Unclassified,ANDHRAPAP.BO,INR
BALKRISIND,Balkrishna Industries Ltd,Unclassified,BALKRISIND.BO,INR
ORIENTPPR,Orient Paper & Industries Ltd,Unclassified,ORIENTPPR.BO,INR
CITADEL,Citadel Realty and Developers Ltd,Unclassified,CITADEL.BO,INR
ROLLT,Rollatainers Ltd,Unclassified,ROLLT.BO,INR
SESHAPAPER,Seshasayee Paper and Boards Ltd,Unclassified,SESHAPAPER.BO,INR
NATHIND,Nath Industries Ltd,Unclassified,NATHIND.BO,INR
VAPIENTER,Vapi Enterprise Ltd,Unclassified,VAPIENTER.BO,INR
DCM,DCM Ltd,Unclassified,DCM.BO,INR
ZGAEKWAR,Gaekwar Mills Ltd,Unclassified,ZGAEKWAR.BO,INR
FORBESCO,Forbes & Company Ltd,Unclassified,FORBESCO.BO,INR
HPCOTTON,HP Cotton Textile Mills Ltd,Unclassified,HPCOTTON.BO,INR
UNITEDINT,United Interactive Ltd,Unclassified,UNITEDINT.BO,INR
JAMSHRI,Jamshri Realty Ltd,Unclassified,JAMSHRI.BO,INR
KATRSPG,Katare Spinning Mills Ltd,Unclassified,KATRSPG.BO,INR
KESORAMIND,Kesoram Industries Ltd,Unclassified,KESORAMIND.BO,INR
LAKSHMIMIL,Lakshmi Mills Company Ltd,Unclassified,LAKSHMIMIL.BO,INR
VTL,Vardhman Textiles Ltd,Unclassified,VTL.BO,INR
PENINLAND,Peninsula Land Ltd,Unclassified,PENINLAND.BO,INR
PASUSPG,Pasupati Spinning & Weaving Mills Ltd,Unclassified,PASUSPG.BO,INR
PHOENIXLTD,The Phoenix Mills Ltd,Unclassified,PHOENIXLTD.BO,INR
MARATHON,Marathon Nextgen Realty Ltd,Unclassified,MARATHON.BO,INR
RAJABAH,Raja Bahadur International Ltd,Unclassified,RAJABAH.BO,INR
RELCHEMQ,Reliance Chemotex Industries Ltd,Unclassified,RELCHEMQ.BO,INR
RUBYMILLS,Ruby Mills Ltd,Unclassified,RUBYMILLS.BO,INR
SIMPLXREA,Simplex Realty Ltd,Unclassified,SIMPLXREA.BO,INR
SWANCORP,Swan Corp Ltd,Unclassified,SWANCORP.BO,INR
VICTMILL,Victoria Mills Ltd,Unclassified,VICTMILL.BO,INR
ZSVTRADI,SV Trading & Agencies Ltd,Unclassified,ZSVTRADI.BO,INR
ZSVARAJT,Svaraj Trading & Agencies Ltd,Unclassified,ZSVARAJT.BO,INR
KSHITIJ,Kshitij Investments Ltd,Unclassified,KSHITIJ.BO,INR
SALSAIN,Shree Salasar Investments Ltd,Unclassified,SALSAIN.BO,INR
INDSOYA,Indsoya Ltd,Unclassified,INDSOYA.BO,INR
